[GIN] 2026/09/24 - 15:54:10 | 500 |      6.6585ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |     19.3696ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |       34.56ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |    150.4771ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |    155.5889ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |    152.8423ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 200 |    159.7834ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 500 |    142.5288ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:10 | 200 |     12.4811ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:54:14 | 200 |      3.4265ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:58:10 | 200 |     28.0693ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:58:43 | 200 |       2.388ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:58:44 | 200 |      2.9997ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 15:58:45 | 200 |    448.5972ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 15:58:45 | 200 |      3.9097ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 15:58:45 | 200 |       507.7µs |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 15:58:45 | 200 |        3.69ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 15:59:52 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:00:04 | 200 |     27.6572ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:00:07 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:00:19 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:00:37 | 200 |         1m51s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/24 - 16:00:37 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:00:37 | 200 |      1.5308ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:00:37 | 200 |      3.0949ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:01:47 | 200 |       4.257ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:02:12 | 200 |         1m35s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/24 - 16:02:12 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:07:03 | 200 |      2.6976ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:07:03 | 200 |      4.3167ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:07:03 | 200 |       5.411ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:07:03 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:08:29 | 200 |         1m26s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/24 - 16:08:29 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:08:29 | 200 |      1.0279ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:08:29 | 200 |      3.8284ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:10:02 | 200 |         1m32s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/24 - 16:10:02 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:14:38 | 200 |      2.5331ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:14:39 | 200 |    544.0034ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:14:39 | 200 |      6.9331ms |       127.0.0.1 | POST     "/api/show"
[GIN] 2026/09/24 - 16:14:39 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:16:19 | 200 |      4.7326ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:16:19 | 200 |      4.7326ms |       127.0.0.1 | GET      "/api/tags"
[GIN] 2026/09/24 - 16:18:13 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:18:21 | 200 |         3m41s |       127.0.0.1 | POST     "/api/chat"
[GIN] 2026/09/24 - 16:18:21 | 200 |            0s |       127.0.0.1 | GET      "/api/ps"
[GIN] 2026/09/24 - 16:18:21 | 200 |      3.1229ms |       127.0.0.1 | POST     "/api/show"
